nombre_municipio,poblacion_2020
El Retorno,13722
Miraflores,7046
San José del Guaviare,5582
Acevedo,25298
Agrado (El Agrado),8937
Aipe,16546
Algeciras,22575
Altamira,4367
Baraya,8269
Campoalegre,31357
Colombia,7064
Elías,43
Garzón,74136
Gigante,24726
Guadalupe,18302
Hobo,7387
Íquira,9345
Isnos (San José de Isnos),25719
La Argentina,13162
La Plata,6238
Nátaga,6573
Neiva,364408
Oporapa,1192
Paicol,6722
Palermo,26881
Palestina,11395
Pital,13927
Pitalito,12863
Rivera,25131
Saladoblanco,10567
San Agustín,33727
Santa María,10462
Suaza,22729
Tarqui,17729
Tello,118
Teruel,8094
Tesalia,10923
Timaná,2207
Villavieja,724
Yaguará,7824
Albania,32265
Barrancas,38348
Dibulla,4206
Distracción,14248
El Molino,7879
Fonseca,44544
Hatonuevo,22033
La Jagua del Pilar,3834
Maicao,185072
Manaure,93431
Riohacha,201839
San Juan del Cesar,49584
Uribia,190084
Urumita,11261
Villanueva,29236
Algarrobo,16785
Aracataca,41492
Ariguaní,31794
Cerro de San Antonio,9941
Chivolo (Chibolo),23388
Ciénaga,124339
Concordia,11227
El Banco,69701
El Piñón,24083
El Retén,21052
Fundación,70491
Guamal,27918
Nueva Granada,21166
Pedraza,929
Pijiño del Carmen,12908
Pivijay,38973
Plato,64017
Puebloviejo,32188
Remolino,11929
Sabanas de San Ángel,16724
Salamina,11295
San Sebastián de Buenavista,20696
Santa Ana,26075
Santa Bárbara de Pinto,11295
Santa Marta,538612
San Zenón,12439
Sitionuevo,29159
Tenerife,13503
Zapayán,10613
Zona Bananera,73933
Acacías,91829
Barranca de Upía,6578
Cabuyaro,6192
Castilla la Nueva,15906
Cubarral (San Luis de Cubarral),7068
Cumaral,23195
El Calvario,1652
El Castillo,7408
El Dorado,3971
Fuente de Oro,12388
Granada,70577
Guamal,14462
La Macarena,28052
Lejanías,11162
Mapiripán,7156
Mesetas,1043
Puerto Concordia,8569
Puerto Gaitán,43605
Puerto Lleras,10354
Puerto López,30312
Puerto Rico,12874
Restrepo,18658
San Carlos de Guaroa,12875
San Juan de Arama,8865
San Juanito,1243
San Martín,26499
Uribe,9482
Villavicencio,545302
Vistahermosa,1679
Albán,932
Aldana,7361
Ancuya,8603
Arboleda,842
Barbacoas,56526
Belén,6301
Buesaco,2391
Chachagüí,15303
Colón,8316
Consacá,13738
Contadero,7236
Córdoba,15477
Cuaspud Carlosama,9198
Cumbal,37033
Cumbitara,5768
El Charco,2255
El Peñol,7442
El Rosario,12062
El Tablón de Gómez,14261
El Tambo,13809
Francisco Pizarro,14158
Funes,7135
Guachucal,19339
Guaitarilla,11325
Gualmatán,0704
Iles,7632
Imués,7446
Ipiales,115836
La Cruz,18643
La Florida,9911
La Llanada,647
La Tola,746
La Unión,31751
Leiva,9571
Linares,10012
Los Andes,9268
Magüí,25543
Mallama,8946
Mosquera,12582
Nariño,4346
Olaya Herrera,2521
Ospina,6993
Pasto (San Juan de Pasto),392589
Policarpa,9779
Potosí,10058
Providencia,5553
Puerres,8365
Pupiales,17219
Ricaurte,20057
Roberto Payán,12694
Samaniego,27742
San Andrés de Tumaco (Tumaco),257052
San Bernardo,9171
Sandoná,1977
San Lorenzo,18399
San Pablo,14793
San Pedro de Cartago,682
Santa Bárbara,13242
Santacruz,11074
Sapuyes,7232
Taminango,17878
Tangua,13321
Túquerres,44575
Yacuanquer,10955
Ábrego,33931
Arboledas,10056
Bochalema,8845
Bucarasica,6614
